muestra,t,M 5A,DUT 30A,
2,609,1.118,87.028,
3,1158,1.841,99.172,
4,1707,2.738,129.188,
5,2256,1.267,128.039,
6,2805,1.033,124.345,
7,3355,2.566,126.034,
8,3905,1.266,146.315,
9,4453,0.000,197.338,
10,5002,2.427,124.581,
11,5551,2.112,85.951,
12,6100,3.401,90.387,
13,6650,4.344,81.986,
muestra,t,M 5A,DUT 30A,
2,552,0.422,83.419,
3,1100,2.834,93.057,
4,1648,1.267,127.813,
5,2196,1.889,127.511,
6,2745,1.033,126.339,
7,3294,3.895,125.634,
8,3844,1.266,137.743,
9,4392,1.933,195.618,
10,4958,3.844,132.744,
11,5508,2.109,84.753,
12,6057,0.731,84.412,
13,6605,0.000,94.087,
14,7155,4.090,86.065,
muestra,t,M 5A,DUT 30A,
2,551,0.945,89.932,
3,1101,2.601,91.794,
4,1651,0.422,122.711,
5,2201,4.344,124.113,
6,2750,0.422,115.594,
7,3298,0.422,122.422,
8,3848,2.734,151.669,
9,4396,4.430,202.416,
10,4946,0.943,125.448,
11,5495,0.845,85.125,
12,6043,0.000,85.280,
13,6592,3.797,83.457,
14,7140,3.379,86.398,
muestra,t,M 5A,DUT 30A,
2,553,2.460,78.594,
3,1118,0.597,93.933,
4,1645,1.193,125.576,
5,2169,1.521,123.050,
6,2692,1.581,119.850,
7,3215,0.422,122.238,
8,3737,0.945,127.436,
9,4262,2.109,196.289,
10,4784,0.945,173.742,
11,5307,0.845,87.836,
12,5830,2.272,85.393,
13,6355,3.797,83.111,
14,6877,0.597,83.602,
15,7399,0.845,84.898,
muestra,t,M 5A,DUT 30A,
2,526,3.940,85.802,
3,1048,0.422,89.539,
4,1571,4.117,126.449,
5,2094,4.025,121.557,
6,2619,0.844,118.703,
7,3142,4.052,123.805,
8,3664,3.917,126.551,
9,4192,1.266,189.242,
10,4715,0.597,190.069,
11,5238,1.636,88.165,
12,5761,1.033,89.711,
13,6285,1.690,84.785,
14,6808,1.266,85.505,
15,7331,3.161,85.426,
muestra,t,M 5A,DUT 30A,
2,526,1.266,85.580,
3,1049,0.000,89.789,
4,1571,2.154,123.675,
5,2095,3.844,125.397,
6,2620,1.334,125.320,
7,3142,1.336,124.504,
8,3665,1.336,127.133,
9,4188,3.773,183.849,
10,4712,1.463,174.535,
11,5235,0.422,96.646,
12,5757,0.732,87.543,
13,6281,1.739,84.145,
14,6804,3.825,84.861,
15,7326,1.267,82.908,
muestra,t,M 5A,DUT 30A,
2,531,0.000,81.672,
3,1053,1.401,89.251,
4,1577,3.504,119.510,
5,2101,1.334,121.055,
6,2624,2.604,124.607,
7,3147,0.732,121.870,
8,3669,1.523,126.016,
9,4193,0.844,160.356,
10,4716,0.945,181.429,
11,5240,1.579,154.515,
12,5763,1.035,85.238,
13,6286,0.943,86.511,
14,6810,1.267,87.617,
15,7333,0.597,83.457,
muestra,t,M 5A,DUT 30A,
2,525,1.267,81.422,
3,1049,2.192,87.212,
4,1572,2.604,123.909,
5,2095,1.267,122.658,
6,2617,4.510,125.710,
7,3143,0.000,124.834,
8,3666,0.000,131.480,
9,4190,0.000,191.714,
10,4713,3.104,188.753,
11,5236,2.387,84.450,
12,5759,0.732,85.050,
13,6283,3.702,84.563,
14,6805,0.000,91.490,
15,7331,0.942,85.097,
muestra,t,M 5A,DUT 30A,
2,526,1.521,88.380,
3,1049,1.336,94.359,
4,1573,0.422,124.628,
5,2096,2.154,127.133,
6,2620,1.521,128.626,
7,3143,1.581,128.640,
8,3665,2.112,126.271,
9,4189,3.980,200.088,
10,4712,1.195,174.830,
11,5236,4.002,90.776,
12,5758,1.267,86.658,
13,6284,4.002,85.205,
14,6809,0.597,87.028,
15,7331,4.030,90.395,
muestra,t,M 5A,DUT 30A,
2,525,0.422,86.880,
3,1050,2.496,87.688,
4,1572,3.895,127.662,
5,2095,4.451,126.220,
6,2617,0.422,123.259,
7,3142,4.025,125.729,
8,3664,1.636,129.288,
9,4187,1.035,186.803,
10,4710,0.422,186.324,
11,5235,1.193,91.198,
12,5758,3.848,89.754,
13,6281,1.790,83.304,
14,6805,1.688,90.351,
15,7328,2.672,82.597,
muestra,t,M 5A,DUT 30A,
2,525,0.422,84.062,
3,1047,4.685,90.466,
4,1571,1.399,121.873,
5,2097,1.792,119.877,
6,2619,0.845,116.783,
7,3141,1.035,120.064,
8,3665,0.597,125.907,
9,4189,0.845,183.296,
10,4711,1.336,192.610,
11,5233,0.422,92.746,
12,5757,2.531,81.515,
13,6280,1.463,83.947,
14,6802,1.581,80.070,
15,7325,1.523,89.789,
muestra,t,M 5A,DUT 30A,
2,526,0.597,86.917,
3,1050,3.867,93.728,
4,1573,1.581,127.964,
5,2095,1.581,124.168,
6,2619,4.002,119.564,
7,3143,5.386,127.122,
8,3666,3.895,126.067,
9,4188,2.390,193.691,
10,4711,3.509,180.702,
11,5238,1.334,88.705,
12,5761,4.344,89.996,
13,6283,1.336,88.963,
14,6807,1.579,84.450,
15,7332,1.688,83.726,
muestra,t,M 5A,DUT 30A,
2,525,2.112,81.737,
3,1049,2.830,86.622,
4,1572,1.336,132.768,
5,2095,0.945,122.632,
6,2618,0.943,125.499,
7,3142,3.453,124.397,
8,3665,2.275,126.424,
9,4188,4.117,188.037,
10,4710,0.422,174.811,
11,5234,4.002,87.834,
12,5757,4.308,88.528,
13,6279,0.422,82.830,
14,6803,1.266,84.145,
15,7327,0.000,87.395,
muestra,t,M 5A,DUT 30A,
2,528,0.422,86.101,
3,1050,0.945,90.111,
4,1574,3.504,124.628,
5,2097,1.936,125.582,
6,2620,1.581,126.042,
7,3143,2.154,122.133,
8,3666,4.485,125.754,
9,4191,0.943,200.232,
10,4714,3.917,180.968,
11,5236,0.845,90.253,
12,5760,3.427,89.460,
13,6283,2.987,86.621,
14,6806,1.267,85.276,
15,7329,3.349,83.534,
muestra,t,M 5A,DUT 30A,
2,525,3.609,82.051,
3,1048,1.336,89.143,
4,1570,1.523,119.931,
5,2094,0.000,129.073,
6,2617,1.195,125.863,
7,3140,2.987,124.452,
8,3662,0.845,121.474,
9,4188,3.375,181.657,
10,4712,1.336,181.500,
11,5234,0.000,90.146,
12,5756,0.597,87.360,
13,6280,0.943,82.142,
14,6803,1.195,89.287,
15,7327,1.334,83.150,
muestra,t,M 5A,DUT 30A,
2,526,3.844,83.917,
3,1049,1.581,89.467,
4,1571,4.160,125.121,
5,2095,3.629,123.128,
6,2619,0.422,130.799,
7,3142,1.523,130.622,
8,3666,1.193,130.308,
9,4189,0.945,192.193,
10,4714,1.334,179.529,
11,5237,3.013,88.922,
12,5760,2.987,82.403,
13,6283,1.266,87.432,
14,6806,4.096,86.991,
15,7331,1.636,85.238,
muestra,t,M 5A,DUT 30A,
2,526,1.266,84.941,
3,1049,1.267,87.690,
4,1572,1.742,125.634,
5,2094,0.422,121.103,
6,2618,2.151,122.894,
7,3141,4.490,121.050,
8,3665,0.422,125.141,
9,4188,1.267,189.585,
10,4712,3.750,176.741,
11,5236,2.109,91.898,
12,5758,3.802,88.201,
13,6282,0.000,81.437,
14,6805,5.174,84.176,
15,7329,1.579,85.054,
muestra,t,M 5A,DUT 30A,
2,527,0.943,84.563,
3,1049,4.030,84.024,
4,1572,1.035,125.634,
5,2095,1.266,122.554,
6,2618,1.334,122.946,
7,3140,1.523,125.838,
8,3664,4.002,126.466,
9,4188,0.000,186.410,
10,4711,3.634,175.673,
11,5235,0.597,91.339,
12,5758,3.406,84.329,
13,6281,3.100,87.101,
14,6804,1.792,85.050,
15,7328,0.943,84.107,
muestra,t,M 5A,DUT 30A,
2,526,2.983,87.761,
3,1049,0.000,89.861,
4,1571,1.267,125.198,
5,2095,2.635,124.035,
6,2619,3.479,124.010,
7,3142,1.267,126.474,
8,3665,1.581,125.965,
9,4187,3.825,185.405,
10,4711,0.731,190.810,
11,5234,1.690,86.954,
12,5758,3.427,82.686,
13,6284,4.544,84.525,
14,6807,1.523,84.405,
15,7331,1.193,84.146,
muestra,t,M 5A,DUT 30A,
2,525,1.792,85.802,
3,1049,1.033,89.782,
4,1572,1.981,119.662,
5,2095,4.704,132.138,
6,2617,3.534,123.986,
7,3141,0.000,126.465,
8,3664,3.609,128.415,
9,4187,4.761,190.075,
10,4709,0.000,188.753,
11,5234,3.820,90.635,
12,5756,1.690,86.361,
13,6280,0.000,83.188,
14,6804,1.521,81.868,
15,7328,1.790,81.790,
muestra,t,M 5A,DUT 30A,
2,526,4.524,90.245,
3,1051,1.790,93.967,
4,1577,0.731,120.365,
5,2100,4.349,121.712,
6,2624,1.334,121.029,
7,3147,2.314,126.525,
