muestra,t,M 5A,DUT 30A,
2,543,1.336,89.861,
3,1066,2.499,93.264,
4,1589,3.453,142.409,
5,2113,1.521,142.296,
6,2636,1.035,224.391,
7,3158,0.945,94.563,
8,3682,1.579,88.922,
9,4205,1.634,95.254,
10,4730,1.688,86.622,
muestra,t,M 5A,DUT 30A,
2,527,2.424,81.082,
3,1051,3.427,84.487,
4,1573,1.267,142.297,
5,2097,5.218,148.186,
6,2621,1.981,204.610,
7,3143,0.422,133.155,
8,3665,3.379,89.682,
9,4189,3.375,93.042,
10,4712,1.636,85.276,
11,5234,3.802,90.608,
muestra,t,M 5A,DUT 30A,
2,528,0.597,84.974,
3,1051,3.017,89.539,
4,1573,3.634,138.731,
5,2097,1.033,141.777,
6,2620,1.336,139.516,
7,3144,0.000,207.384,
8,3666,1.636,134.092,
9,4190,1.887,89.818,
10,4713,0.422,88.782,
11,5237,0.943,84.904,
12,5759,1.742,93.847,
13,6283,4.485,92.246,
muestra,t,M 5A,DUT 30A,
2,531,0.732,85.876,
3,1054,1.399,89.675,
4,1577,6.585,142.320,
5,2101,1.887,144.242,
6,2625,3.375,144.530,
7,3148,0.422,203.176,
8,3671,0.844,140.187,
9,4195,3.017,90.715,
10,4718,0.422,83.304,
11,5244,0.422,87.285,
12,5768,1.266,88.198,
muestra,t,M 5A,DUT 30A,
2,526,3.773,85.430,
3,1050,1.792,91.455,
4,1572,0.732,139.700,
5,2094,0.422,136.561,
6,2618,1.790,143.373,
7,3142,1.267,212.102,
8,3664,0.597,138.244,
9,4186,4.798,89.215,
10,4712,0.596,92.475,
11,5235,1.035,89.754,
12,5758,0.422,86.177,
muestra,t,M 5A,DUT 30A,
2,526,1.266,85.580,
3,1050,1.739,95.690,
4,1574,3.401,140.575,
5,2097,1.841,144.136,
6,2619,3.917,141.414,
7,3143,0.844,211.439,
8,3670,5.370,128.800,
9,4192,3.379,88.420,
10,4715,2.195,85.727,
11,5239,0.000,86.474,
12,5761,1.035,86.473,
muestra,t,M 5A,DUT 30A,
2,526,3.802,86.695,
3,1048,3.406,90.679,
4,1572,0.000,137.160,
5,2097,3.797,141.098,
6,2619,0.000,145.489,
7,3142,0.422,202.194,
8,3665,3.013,131.386,
9,4190,1.266,90.987,
10,4712,1.267,88.565,
11,5236,1.334,88.452,
12,5760,0.943,86.326,
muestra,t,M 5A,DUT 30A,
2,527,2.983,92.489,
3,1049,0.845,94.325,
4,1573,1.399,145.700,
5,2097,0.731,142.138,
6,2624,1.033,150.418,
7,3147,3.075,207.060,
8,3669,3.559,128.989,
9,4192,1.266,86.103,
10,4717,1.266,87.761,
11,5240,3.379,83.024,
12,5763,0.422,91.619,
muestra,t,M 5A,DUT 30A,
2,527,1.266,83.726,
3,1049,0.945,87.873,
4,1572,2.275,141.323,
5,2095,1.634,145.612,
6,2620,0.000,147.319,
7,3143,3.872,208.898,
8,3666,2.349,137.324,
9,4190,0.597,89.107,
10,4713,1.461,88.958,
11,5236,4.926,84.557,
12,5759,0.597,82.570,
muestra,t,M 5A,DUT 30A,
2,527,3.797,80.367,
3,1053,4.974,89.854,
4,1577,4.302,139.499,
5,2100,3.483,142.116,
